branch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
1,-55.16787079,-69.35459453,-123.8298673,-133.4359608,-10.26811058,-19.43859768,-21.76182594,-61.92270386,16.50525052,21.04739523,19.92642618,15.97642824,6.123480165,-14.25712295,-27.8855062,-26.98709125,-5.857455411,-13.82151399,-1.882635417,-1.187278434,5.924431984,-2.592760418,-1.383627472,6.449042578,0.358380228,12.13255282,0.199158501,7.523139918,-1.999775464,10.55156961,-9.613590833,-8.811279775,6.891123156,-6.681654012,-11.64021206,-11.09210238,-0.59063581,16.91830719,9.48849773,9.879027283,-3.68824811,-5.085206083,-1.739519996,-0.666212529,-6.241380388,6.66873927,13.18583456,6.445287848,-2.812060675,6.534818043,-3.099259075,-5.362178564,1.363893873,5.335752432,-1.005566337,3.016356794,-7.008210664,5.06526979,-3.924689099,8.75258963
1,-44.085621,-71.77318905,-134.5327302,-151.8857642,-20.00741507,-22.4140855,-46.06537444,-36.0638753,0.545402892,14.14210587,17.35510034,22.47482545,-0.684738249,-13.30045621,-24.58379948,-32.14682543,-5.042124437,-0.431098537,-7.918980517,15.77553171,-4.506847604,5.270225139,11.38067998,2.774480418,11.11219016,7.788509458,21.28422791,11.16324015,-3.435122536,0.136565022,-1.955883807,-11.62723714,-1.74568737,-9.757877856,-10.61850494,-15.82441122,8.711437173,10.00853606,5.203810335,15.22371622,-3.29570522,-2.660891307,-3.000537624,-1.475724183,6.664878334,-5.417177931,2.964489978,4.856709754,6.423250531,9.961655527,-2.883616071,6.353222446,5.671633255,12.6546612,-0.797562177,-5.964988466,-2.573690076,3.752667659,-13.45206416,6.894155541
1,-68.40046442,-77.87690314,-140.014878,-152.0125196,-23.31262179,-28.63757654,-45.13828518,-49.76453408,9.992023223,17.61101573,28.68457933,21.06936785,-9.18088875,-21.14318332,-13.43492454,-22.12758361,1.306409535,4.047126111,8.073142284,2.740709539,-6.089997693,-6.891870523,-1.868385115,8.781750301,4.979984837,8.354304441,-3.9569941,10.54650108,4.342917633,-5.067952755,-5.56278251,-28.35298099,-3.940615391,-5.459566349,-24.9861624,-9.747176354,-0.011354644,1.22804631,1.434613393,-8.286209924,3.301065428,12.93348939,4.49892098,-11.62712648,-10.18478678,10.25531038,-5.886926273,2.903605597,-4.007103985,1.759723622,-3.993610339,7.921958822,1.027219024,-5.166906295,-2.63975515,11.02342756,-10.46227734,-3.97737562,-0.077844538,-4.195474737
1,-49.58716222,-63.45922827,-133.9117907,-138.722876,-18.44047566,-40.04928493,-41.38275387,-45.93293506,7.567671983,18.07281165,17.6705969,17.29095274,-18.29385122,-13.15576158,-13.71756082,-6.284804136,0.651174198,-1.237649754,0.968216825,2.192684507,8.521155192,-3.425847765,-0.411190776,7.239923138,-4.441657161,15.16798604,14.51858235,11.53963271,-4.60790852,-3.029172121,-20.56379399,-8.557827732,-0.943729845,-16.74032176,-0.410347936,-0.705806128,6.854303399,12.4117812,7.748234334,21.5034789,9.035034533,3.284826065,10.79161957,-3.830284322,-2.060991467,5.470392834,-2.411786857,7.882448562,-0.998993676,3.546476638,10.05605744,-6.794971171,-0.761372115,-12.59190716,-0.976072082,2.488823572,9.382546532,-1.008470477,-7.367950725,-6.907254107
1,-54.94872822,-71.70839101,-129.4940528,-153.9100299,-18.93097172,-22.56827929,-32.68452041,-40.72975453,16.76822885,9.690637524,17.17597958,16.9662174,-9.716968528,-10.08063659,-19.45873861,-20.7407,-6.937416196,1.801256153,-8.382019392,-1.700636608,-3.745032089,1.745099318,7.617525987,-2.149169417,-6.861458616,15.77135749,7.602390302,-1.547655478,7.008060682,-10.1448845,-3.224649354,-15.16595276,-4.435498477,6.356745711,3.678504312,-10.17761284,0.907150932,3.212032133,-0.614679588,15.50133771,4.037596083,-8.738424883,-7.140442792,-4.615572721,-7.834703403,5.848632754,-10.79145502,-4.309069118,-0.756467067,3.495069855,-14.49261451,-11.31994147,1.777835859,12.25812804,-4.531323782,9.881974933,1.163030893,-0.77827892,-2.082642063,-1.357162312
1,-68.90939336,-78.20940479,-144.8582641,-163.0602987,-15.28358944,-19.9618639,-37.31241903,-46.10197654,14.6781594,10.6336769,12.17386691,35.16351734,5.35020747,-7.883604253,1.972372937,-29.89923982,9.344210785,0.343583518,-2.178130459,-0.735517108,-9.768591355,11.72627956,-11.35851072,-7.699685491,4.24568521,13.30431845,18.77990647,16.09543966,-6.836874084,7.259733448,-15.7553822,-4.946896248,-4.879451236,-9.704708948,-11.011851,-0.966196617,-0.187355802,-7.635437041,15.8422519,9.086692417,-4.623383643,-4.012337184,6.697553572,9.813215967,-2.936822229,5.749379607,3.122856902,6.176027087,8.091133274,-5.054471528,0.87793788,-0.56888954,8.277356562,2.725875817,0.49861012,-0.515643002,4.660282358,-6.682661371,11.6217471,-8.71338708
1,-58.09216149,-74.30907109,-125.3114743,-150.7301753,-20.36277634,-25.90466757,-44.38490498,-48.10037456,16.26886816,-0.780411469,12.62036204,31.65781532,-6.260410275,-5.641178164,-5.848865031,-24.20323871,1.227156953,7.107867183,-11.66523372,-6.65475493,-13.65088859,-3.956716896,4.185916416,-4.470113209,9.582460277,13.63249827,20.8648261,4.956622392,-24.31221272,2.00696254,-12.81609147,-6.674672145,0.884472626,-11.04375907,-1.802009657,-16.46513441,7.458575145,4.489482655,15.79763631,3.976928728,-4.912205888,-1.327496991,-6.366179036,-7.480535052,2.318478119,2.621140033,6.789968433,-6.369319339,-4.043754758,-8.033192301,3.042092025,-14.89412932,-0.246702663,2.37275968,2.274385414,-2.192701612,-3.111344387,-2.160800601,11.60459954,8.980410645
1,-53.21778795,-72.01705015,-129.8519157,-147.6736477,-27.62317216,-31.2084777,-44.55261986,-39.90771835,18.21968503,16.02744841,19.10918973,13.77162351,-4.863174685,-14.51195629,-18.75721586,-19.94257127,6.201615878,0.377867517,-1.913977417,9.389177204,3.538651918,-5.492820277,12.19110129,-5.810494595,0.688176155,8.400098019,12.82563867,8.532387737,4.578722311,-3.642946541,7.36385319,-21.21909343,0.994221999,-14.40152176,-5.7625131,-15.3059666,0.416546856,13.95918579,9.546750011,3.241706155,-0.413140778,7.04061973,-0.251801,11.76435195,-5.228423826,8.838621243,2.156597454,3.095441337,-10.97397232,-3.239857176,11.17269377,7.169994315,-8.867610821,0.518449798,-3.979640436,-1.415964118,2.410067784,3.090394144,-10.69216665,1.898166164
1,-34.91385028,-73.61946745,-126.7006818,-150.4973342,-7.87015865,-12.70092894,-54.09799436,-44.06587035,-1.282051365,6.949952978,5.376986247,23.79806236,3.590441041,-4.370039361,-19.82279421,-15.40192374,6.141953006,-2.495495171,-0.173429983,-7.089215039,1.604064068,-0.293503099,3.82467512,-0.972527922,5.589548072,-2.056965871,21.10049606,1.07681543,-0.270585224,0.162378748,-11.91432641,-12.74897895,-3.59578083,-9.398822198,-17.29596903,-9.951881966,-2.832290559,1.237065905,7.91663296,19.10333393,-8.43928252,-5.950182054,-2.901011811,7.735085837,-2.257596356,-6.947631464,10.16344495,-0.581960157,-5.605405711,5.851907491,-0.220715469,10.18672573,-7.377764987,3.909686246,1.721132266,9.323018992,8.455057598,9.731814258,0.346315911,-0.037739085
1,-41.46121222,-71.16162066,-118.0123924,-150.4635763,-14.81389339,-13.05102581,-44.19505526,-52.39595563,10.84883429,11.19152345,26.46404727,16.62720607,-13.7850705,-14.64939772,-13.9994945,-28.8600594,7.539008303,-5.533230906,-2.32593174,-2.334874062,-4.667584025,15.12225948,3.798984866,-14.66638691,14.84291518,4.205541168,12.92521096,18.65693937,1.685616332,-8.71732184,-12.03615073,-8.364958682,-22.06180461,-9.013199674,-15.37623823,-13.96317234,-3.922078936,6.897618581,13.19354412,11.87252071,-11.6307451,7.986509974,-2.070025643,0.913137874,13.13924895,-5.686667554,14.58352852,-0.67336622,-8.747844183,0.062877352,-6.177927255,6.829690682,-5.441556869,-10.77032147,-2.933852261,-2.967182062,2.444917923,9.459329335,0.680170631,-1.14110077
