Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
died,3,male,22,1,0,7.25,S
survived,1,female,38,1,0,71.2833,C
survived,3,female,26,0,0,7.925,S
survived,1,female,35,1,0,53.1,S
died,3,male,35,0,0,8.05,S
died,1,male,54,0,0,51.8625,S
died,3,male,2,3,1,21.075,S
survived,3,female,27,0,2,11.1333,S
survived,2,female,14,1,0,30.0708,C
survived,3,female,4,1,1,16.7,S
survived,1,female,58,0,0,26.55,S
died,3,male,20,0,0,8.05,S
died,3,male,39,1,5,31.275,S
died,3,female,14,0,0,7.8542,S
survived,2,female,55,0,0,16,S
died,3,male,2,4,1,29.125,Q
died,3,female,31,1,0,18,S
died,2,male,35,0,0,26,S
survived,2,male,34,0,0,13,S
survived,3,female,15,0,0,8.0292,Q
survived,1,male,28,0,0,35.5,S
died,3,female,8,3,1,21.075,S
survived,3,female,38,1,5,31.3875,S
died,1,male,19,3,2,263,S
died,1,male,40,0,0,27.7208,C
died,2,male,66,0,0,10.5,S
died,1,male,28,1,0,82.1708,C
died,1,male,42,1,0,52,S
died,3,male,21,0,0,8.05,S
died,3,female,18,2,0,18,S
survived,3,female,14,1,0,11.2417,C
died,3,female,40,1,0,9.475,S
died,2,female,27,1,0,21,S
survived,2,female,3,1,2,41.5792,C
survived,3,female,19,0,0,7.8792,Q
died,3,female,18,1,0,17.8,S
died,3,male,7,4,1,39.6875,S
died,3,male,21,0,0,7.8,S
survived,1,female,49,1,0,76.7292,C
survived,2,female,29,1,0,26,S
died,1,male,65,0,1,61.9792,C
survived,2,female,21,0,0,10.5,S
died,3,male,28.5,0,0,7.2292,C
survived,2,female,5,1,2,27.75,S
died,3,male,11,5,2,46.9,S
died,3,male,22,0,0,7.2292,C
died,1,male,45,1,0,83.475,S
died,3,male,4,3,2,27.9,S
survived,2,female,29,0,0,10.5,S
died,3,male,19,0,0,8.1583,S
survived,3,female,17,4,2,7.925,S
died,3,male,26,2,0,8.6625,S
died,2,male,32,0,0,10.5,S
died,3,female,16,5,2,46.9,S
